Absolute Time Status	N/A			
Absolute Time Source	PC			
Absolute Time	2024-01-19 15:07:35 ms 917.826			
Socket ID	2009511028:P7			
Frontend serial number	0047093506			
Module serial number	2009511028			
Module ID	M1			
Position ID	P7			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input7			
Channel group	Group 1			
Channelgroup	Vibration			
HW Offset	0 mV			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	5.36542 mV/g			
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	9			
Channel name	C7			
DOF id	Point7			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Point7			
Point id component				
Point id	Point7			
Zero compensation	0 g			
Lower Limit EU	-58.8957 g			
Upper Limit EU	58.8957 g			
Function class	Time			
Weighting	Linear			
Modified	Fri Jan 19 2024 18:07:37			
Created	Fri Jan 19 2024 18:07:37			
Span	400 Hz			
Bandwidth	512 Hz			
Sample frequency	1024 Hz			
X axis increment	0.000976563 s			
X axis	0.000937063-10.458 s			
X axis quantity	Time			
X axis unit	s			
Number of lines	10708			
Value type	Real			
Range	8.6727 g			
Max value	3.97504 g			
Min value	-4.69766 g			
Y axis quantity	Acceleration			
Y axis unit	g			
          9.370631350e-04	          1.235860767e-02			
          1.913625635e-03	          1.230828175e-02			
          2.890188135e-03	          1.255272192e-02			
          3.866750635e-03	          1.253115367e-02			
          4.843313135e-03	          1.145993055e-02			
          5.819875635e-03	          1.048935927e-02			
          6.796438135e-03	          9.475651486e-03			
          7.773000635e-03	          1.018021434e-02			
          8.749563135e-03	          8.361291865e-03			
          9.726125635e-03	          8.993960553e-03			
          1.070268813e-02	          1.134489988e-02			
          1.167925063e-02	          1.253834309e-02			
          1.265581313e-02	          1.267494201e-02			
          1.363237563e-02	          1.171156014e-02			
          1.460893813e-02	          9.784796413e-03			
          1.558550063e-02	          8.260640028e-03			
          1.656206313e-02	          7.872411515e-03			
          1.753862563e-02	          5.593366355e-03			
          1.851518813e-02	          6.671778891e-03			
          1.949175063e-02	          7.642350174e-03			
          2.046831313e-02	          8.023389270e-03			
          2.144487563e-02	          7.548887754e-03			
          2.242143813e-02	          9.374999649e-03			
          2.339800063e-02	          8.756709795e-03			
          2.437456313e-02	          1.178345431e-02			
          2.535112563e-02	          1.073379944e-02			
          2.632768813e-02	          1.245925950e-02			
          2.730425063e-02	          1.224357700e-02			
          2.828081313e-02	          9.576303323e-03			
          2.925737563e-02	          9.425325567e-03			
          3.023393813e-02	          1.006518367e-02			
          3.121050063e-02	          9.331863148e-03			
          3.218706313e-02	          9.871069416e-03			
          3.316362563e-02	          9.367810232e-03			
          3.414018813e-02	          1.053249577e-02			
          3.511675063e-02	          1.129457396e-02			
          3.609331313e-02	          9.374999649e-03			
          3.706987563e-02	          9.856690582e-03			
          3.804643813e-02	          8.756709795e-03			
          3.902300063e-02	          7.146280407e-03			
          3.999956313e-02	          6.700536559e-03			
          4.097612563e-02	          7.124712157e-03			
          4.195268813e-02	          7.886790349e-03			
          4.292925063e-02	          8.059336355e-03			
          4.390581313e-02	          8.886119299e-03			
          4.488237563e-02	          9.942963585e-03			
          4.585893813e-02	          1.022335084e-02			
          4.683550063e-02	          1.064033703e-02			
          4.781206313e-02	          9.554735072e-03			
          4.878862563e-02	          8.210314110e-03			
          4.976518813e-02	          9.051475888e-03			
          5.074175063e-02	          1.000047892e-02			
